epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.586252748966217,2.396350860595703,0.01,0.6722081899642944,1.1604833602905273
1,0.6805194616317749,1.38042151927948,0.01,0.7318395376205444,1.0197936296463013
2,0.7081406116485596,1.0533578395843506,0.01,0.7415974140167236,0.9140055775642395
3,0.7263224720954895,0.9374112486839294,0.01,0.7343693375587463,0.9264829754829407
4,0.7237883806228638,0.9471920728683472,0.01,0.7502710223197937,0.8640358448028564
5,0.7313905358314514,0.9179616570472717,0.01,0.7668955326080322,0.824915885925293
6,0.7370288372039795,0.8982807993888855,0.01,0.7430430054664612,0.9439591765403748
7,0.7324041724205017,0.917852520942688,0.01,0.7535236477851868,0.8776410818099976
8,0.7329109907150269,0.9110826849937439,0.01,0.7621973156929016,0.8597182035446167
9,0.725245475769043,0.9363620281219482,0.01,0.7470184564590454,0.919317364692688
