epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5634462833404541,1.5511966943740845,0.001,0.7408745884895325,0.9493486285209656
1,0.7301235198974609,0.9175720810890198,0.001,0.7849656939506531,0.7446616291999817
2,0.7613556981086731,0.7983560562133789,0.001,0.802312970161438,0.6924083828926086
3,0.7836553454399109,0.726301372051239,0.001,0.8066498041152954,0.6581746935844421
4,0.7915109395980835,0.6770241856575012,0.001,0.8106252551078796,0.644972562789917
5,0.7992398142814636,0.6648707985877991,0.001,0.8109866380691528,0.6492645144462585
6,0.8070319890975952,0.6242157816886902,0.001,0.8044813871383667,0.6711333990097046
7,0.8133671283721924,0.614769458770752,0.001,0.8200216889381409,0.6137195825576782
8,0.8141273260116577,0.6011416912078857,0.001,0.8138778209686279,0.6394727826118469
9,0.8190687298774719,0.5863905549049377,0.001,0.8229129314422607,0.6182912588119507
10,0.8182451725006104,0.5827519297599792,0.001,0.8192988634109497,0.6482239961624146
11,0.8204624652862549,0.5675055980682373,0.001,0.8283339142799377,0.6357722878456116
12,0.8209059238433838,0.576587438583374,0.001,0.8200216889381409,0.6099351048469543
13,0.8282546997070312,0.5620855689048767,0.001,0.8294181227684021,0.6214194893836975
14,0.8257206082344055,0.5566954016685486,0.001,0.826165497303009,0.6223773956298828
15,0.8338929414749146,0.5437697172164917,0.001,0.8254427313804626,0.62884122133255
16,0.8257206082344055,0.5578253269195557,0.001,0.817491888999939,0.6375440359115601
17,0.8273044228553772,0.5540121793746948,0.001,0.820744514465332,0.6252452731132507
18,0.8259740471839905,0.5560137033462524,0.001,0.8196603059768677,0.6335238218307495
19,0.839847981929779,0.5102608799934387,0.0003162278,0.8279725313186646,0.60500168800354
0,0.8226797580718994,0.568942129611969,0.001,0.820744514465332,0.6221799254417419
