epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8189420104026794,0.5924705266952515,1e-04,0.835561990737915,0.5796353220939636
1,0.8462464213371277,0.5049391388893127,1e-04,0.8341163992881775,0.5660547614097595
2,0.8596768975257874,0.4535932242870331,1e-04,0.8464040756225586,0.5435105562210083
3,0.8672156929969788,0.4208875596523285,1e-04,0.8547163009643555,0.5271519422531128
4,0.8796325922012329,0.37831780314445496,1e-04,0.8536320924758911,0.5151135325431824
5,0.8845739364624023,0.35876399278640747,1e-04,0.8590531349182129,0.5078623294830322
6,0.8939499258995056,0.33158156275749207,1e-04,0.8554391264915466,0.5154718160629272
7,0.9016154408454895,0.3072406053543091,1e-04,0.865196943283081,0.5252987146377563
8,0.9094710350036621,0.2872951030731201,1e-04,0.8543549180030823,0.4957866966724396
9,0.9134621620178223,0.2764267921447754,1e-04,0.8604987263679504,0.49873435497283936
